yarn_tensile_strength,yarn_elongation_at_break,yarn_hairiness_index,twist_per_meter,yarn_linear_density_dtex,loom_rpm,loom_tension_variation,ambient_relative_humidity,ambient_temperature_c,weft_insertion_rate,defect_class,defect_name,is_anomaly
29.54,18.98,3.15,461.4,2503.8,697.7,27.99,61.4,25.1,626.1,2,JACQUARD_PATTERN_SHIFT,False
22.93,17.82,9.49,455.0,2217.9,585.8,24.98,49.4,31.5,598.8,1,OIL_STAIN,False
12.34,10.72,3.97,440.3,2083.7,645.2,36.84,66.3,25.5,532.3,0,YARN_BREAKAGE,False
14.07,9.46,5.41,457.5,2130.0,608.2,41.78,57.5,22.6,531.6,0,YARN_BREAKAGE,False
26.23,15.15,4.75,455.4,2452.9,677.0,25.41,56.5,23.4,626.9,2,JACQUARD_PATTERN_SHIFT,False
27.29,19.35,6.3,447.5,2314.6,649.3,26.16,37.9,32.0,555.4,1,OIL_STAIN,False
25.45,16.77,4.45,465.2,2584.1,723.4,26.56,58.0,23.5,673.7,2,JACQUARD_PATTERN_SHIFT,False
32.23,19.18,6.85,474.8,2276.5,599.9,25.09,35.4,34.4,559.1,1,OIL_STAIN,False
28.55,14.24,7.22,485.7,2205.0,596.6,20.49,40.6,30.0,552.2,1,OIL_STAIN,False
28.16,20.56,2.38,424.5,2515.0,718.2,24.52,54.9,26.9,658.4,2,JACQUARD_PATTERN_SHIFT,False
19.36,17.43,4.66,322.2,1967.6,587.9,23.79,68.1,19.1,467.8,3,BORDER_SEWING_DEFECT,False
24.45,21.07,4.52,444.8,2540.2,694.4,24.95,58.4,23.5,606.0,2,JACQUARD_PATTERN_SHIFT,False
27.84,11.3,3.14,287.3,2076.1,630.1,18.9,60.5,25.0,510.9,3,BORDER_SEWING_DEFECT,False
24.55,16.86,7.75,432.4,2261.5,647.1,19.37,43.7,30.2,521.4,1,OIL_STAIN,False
27.66,18.23,3.83,316.6,1999.9,557.9,20.93,58.0,22.7,493.6,3,BORDER_SEWING_DEFECT,False
23.61,15.07,3.08,360.4,1949.0,601.8,23.27,57.5,23.9,559.3,3,BORDER_SEWING_DEFECT,False
29.57,27.48,6.01,501.6,1776.1,798.4,78.46,53.9,34.8,377.5,-1,ANOMALOUS_NOISE,True
25.67,14.18,3.24,337.0,1986.2,572.4,22.74,61.4,21.2,558.4,3,BORDER_SEWING_DEFECT,False
28.76,19.18,4.82,452.9,2467.8,687.0,24.93,56.0,24.0,653.9,2,JACQUARD_PATTERN_SHIFT,False
24.42,17.31,4.02,338.8,1803.8,636.6,18.62,60.5,23.4,559.2,3,BORDER_SEWING_DEFECT,False
27.16,18.49,4.48,432.9,2532.0,712.1,21.31,56.4,25.5,614.8,2,JACQUARD_PATTERN_SHIFT,False
24.91,19.56,7.65,469.9,2193.6,650.8,26.54,42.1,33.8,556.7,1,OIL_STAIN,False
19.46,13.11,4.53,300.8,1970.5,623.5,24.17,63.0,22.3,491.8,3,BORDER_SEWING_DEFECT,False
22.32,19.97,9.01,424.7,2220.1,643.0,18.66,39.3,29.4,547.6,1,OIL_STAIN,False
20.01,18.38,7.24,415.7,2336.7,697.0,19.63,40.2,34.4,513.5,1,OIL_STAIN,False
28.69,19.35,2.82,429.6,2478.4,723.9,24.59,62.5,27.6,607.8,2,JACQUARD_PATTERN_SHIFT,False
26.59,17.91,8.62,407.2,2314.2,620.7,33.18,42.7,29.9,523.7,1,OIL_STAIN,False
27.57,19.76,6.43,441.4,2283.1,667.7,22.4,44.8,31.3,480.6,1,OIL_STAIN,False
19.95,18.04,3.75,459.9,2372.8,733.0,25.23,68.8,24.4,632.3,2,JACQUARD_PATTERN_SHIFT,False
25.83,18.12,4.01,329.1,1968.7,601.6,18.26,58.8,21.8,521.4,3,BORDER_SEWING_DEFECT,False
21.76,20.75,3.51,459.0,2426.3,740.6,26.2,55.3,25.4,637.2,2,JACQUARD_PATTERN_SHIFT,False
26.36,15.11,7.37,436.4,2151.7,679.0,26.48,45.8,34.0,531.4,1,OIL_STAIN,False
6.46,31.13,7.15,354.8,2138.3,549.5,83.69,68.2,24.7,427.1,-1,ANOMALOUS_NOISE,True
27.91,14.37,6.9,439.8,2360.1,658.4,27.69,49.6,32.4,506.2,1,OIL_STAIN,False
22.25,16.97,4.59,307.8,1927.0,605.2,22.42,66.6,20.5,465.0,3,BORDER_SEWING_DEFECT,False
27.94,18.13,9.82,477.3,2193.4,619.8,25.6,41.9,32.0,536.8,1,OIL_STAIN,False
8.42,6.42,8.71,208.0,2640.6,415.5,83.24,74.2,25.6,383.3,-1,ANOMALOUS_NOISE,True
12.04,9.89,3.54,418.2,2115.6,523.5,41.02,60.6,23.8,580.4,0,YARN_BREAKAGE,False
23.83,13.01,3.74,298.7,2051.8,565.7,28.7,63.4,18.6,526.6,3,BORDER_SEWING_DEFECT,False
17.71,10.12,3.5,420.0,2202.3,595.7,42.43,54.5,22.7,568.2,0,YARN_BREAKAGE,False
14.0,10.57,2.94,433.8,2106.2,618.7,44.85,63.4,27.2,490.2,0,YARN_BREAKAGE,False
26.19,18.35,5.58,469.8,2389.5,704.6,21.46,60.2,27.5,646.0,2,JACQUARD_PATTERN_SHIFT,False
29.09,14.54,5.85,472.5,2126.5,631.2,20.37,41.9,30.0,561.8,1,OIL_STAIN,False
24.89,16.19,7.45,444.6,2293.9,615.5,25.99,47.6,32.0,546.7,1,OIL_STAIN,False
15.48,9.59,5.26,450.6,2097.3,601.6,43.12,55.3,26.4,532.5,0,YARN_BREAKAGE,False
12.56,11.82,5.01,426.3,2225.9,611.7,35.38,60.4,24.0,509.9,0,YARN_BREAKAGE,False
13.8,9.65,3.93,445.6,2304.7,619.1,42.22,55.3,22.7,572.0,0,YARN_BREAKAGE,False
25.86,18.9,8.48,435.7,2335.7,652.8,21.16,43.2,29.5,557.8,1,OIL_STAIN,False
29.24,16.62,6.98,450.9,2254.5,683.1,21.72,43.2,30.5,548.1,1,OIL_STAIN,False
22.97,18.38,4.81,287.7,1994.4,613.8,18.81,59.9,25.5,547.5,3,BORDER_SEWING_DEFECT,False
22.65,18.62,3.41,337.4,1882.4,634.8,24.18,61.2,22.2,538.5,3,BORDER_SEWING_DEFECT,False
28.19,19.57,3.75,475.6,2561.9,784.6,26.37,57.7,26.2,648.6,2,JACQUARD_PATTERN_SHIFT,False
12.07,10.08,3.95,418.3,2263.1,592.1,40.76,63.3,24.8,516.6,0,YARN_BREAKAGE,False
14.23,10.02,5.23,466.9,2296.4,604.6,46.51,51.2,22.4,535.6,0,YARN_BREAKAGE,False
25.76,18.33,4.27,474.0,2602.5,692.3,29.43,61.9,25.1,654.9,2,JACQUARD_PATTERN_SHIFT,False
19.44,15.51,2.67,313.9,2010.4,562.2,16.55,76.6,22.2,507.4,3,BORDER_SEWING_DEFECT,False
22.77,17.23,5.1,284.0,1985.6,556.2,13.08,54.6,22.9,499.6,3,BORDER_SEWING_DEFECT,False
30.5,14.53,7.67,424.9,2169.0,599.3,25.49,41.5,28.5,516.8,1,OIL_STAIN,False
15.34,11.46,4.41,436.1,2217.4,570.5,48.68,51.6,24.8,551.2,0,YARN_BREAKAGE,False
22.17,4.16,4.1,666.3,1838.7,811.0,67.07,28.8,24.2,701.1,-1,ANOMALOUS_NOISE,True
27.5,16.2,5.24,472.1,2389.0,783.7,22.19,60.7,24.3,619.6,2,JACQUARD_PATTERN_SHIFT,False
23.89,17.64,5.04,466.9,2619.5,708.7,23.01,54.6,23.3,648.3,2,JACQUARD_PATTERN_SHIFT,False
24.14,15.48,3.32,484.2,2527.7,688.3,22.03,59.7,26.9,606.3,2,JACQUARD_PATTERN_SHIFT,False
27.59,13.76,2.51,312.3,1935.2,588.7,18.49,55.4,20.1,471.6,3,BORDER_SEWING_DEFECT,False
14.53,9.26,3.4,429.5,2184.0,587.2,43.65,50.2,22.6,530.7,0,YARN_BREAKAGE,False
26.31,17.25,4.82,452.6,2439.4,644.1,20.72,60.9,23.1,653.3,2,JACQUARD_PATTERN_SHIFT,False
26.33,12.33,4.94,309.4,2018.7,560.9,20.26,53.8,24.9,525.2,3,BORDER_SEWING_DEFECT,False
30.2,19.5,7.61,423.3,2156.2,652.2,21.36,44.2,34.9,560.9,1,OIL_STAIN,False
32.0,15.64,5.19,438.2,2520.0,720.5,28.21,64.6,27.0,627.1,2,JACQUARD_PATTERN_SHIFT,False
14.46,10.61,6.3,239.9,2634.7,439.0,61.59,73.3,33.8,569.9,-1,ANOMALOUS_NOISE,True
25.15,16.0,3.88,470.0,2415.8,703.6,23.98,53.7,23.9,648.9,2,JACQUARD_PATTERN_SHIFT,False
27.43,17.7,8.05,482.8,2191.2,581.1,20.72,48.9,31.1,451.8,1,OIL_STAIN,False
15.01,9.59,5.15,427.1,2150.0,594.4,45.7,58.1,25.9,507.9,0,YARN_BREAKAGE,False
29.06,22.05,4.26,430.1,2445.5,708.9,23.88,58.1,26.0,631.8,2,JACQUARD_PATTERN_SHIFT,False
27.02,16.97,4.39,468.4,2499.0,718.2,26.01,50.5,26.1,676.2,2,JACQUARD_PATTERN_SHIFT,False
14.63,10.68,4.45,468.3,2222.8,682.6,39.81,58.6,20.5,564.9,0,YARN_BREAKAGE,False
17.11,7.52,3.98,394.8,2144.8,602.9,41.78,54.2,28.4,504.2,0,YARN_BREAKAGE,False
14.97,7.91,4.54,431.9,2198.4,607.7,41.37,60.0,21.5,481.6,0,YARN_BREAKAGE,False
27.16,15.48,4.42,425.9,2482.7,726.3,20.3,62.0,22.7,615.7,2,JACQUARD_PATTERN_SHIFT,False
25.81,18.75,5.46,481.0,2429.5,724.3,18.37,61.7,24.9,628.9,2,JACQUARD_PATTERN_SHIFT,False
21.8,13.49,3.27,281.3,1917.0,545.5,19.77,54.0,21.5,520.7,3,BORDER_SEWING_DEFECT,False
15.75,8.65,3.64,449.8,2274.9,611.7,41.5,59.7,22.5,536.3,0,YARN_BREAKAGE,False
9.25,19.75,11.17,263.1,1560.5,773.3,84.57,55.8,25.9,680.6,-1,ANOMALOUS_NOISE,True
29.52,18.88,3.72,454.1,2519.5,721.8,24.89,65.5,21.1,651.7,2,JACQUARD_PATTERN_SHIFT,False
29.63,15.78,4.51,439.4,2485.3,684.7,20.47,62.8,23.4,609.4,2,JACQUARD_PATTERN_SHIFT,False
26.37,17.14,3.78,477.8,2481.8,690.0,26.27,57.9,23.7,601.7,2,JACQUARD_PATTERN_SHIFT,False
29.45,13.53,7.98,443.0,2223.3,540.2,14.57,43.3,32.9,555.6,1,OIL_STAIN,False
24.61,16.27,3.43,272.4,1937.4,594.3,12.7,71.2,24.2,502.8,3,BORDER_SEWING_DEFECT,False
26.67,18.49,8.01,430.3,2279.3,584.1,29.22,46.3,31.4,572.6,1,OIL_STAIN,False
12.79,11.24,1.91,427.3,2164.0,640.5,41.87,70.8,26.6,530.9,0,YARN_BREAKAGE,False
30.72,19.41,8.98,431.6,2262.6,569.2,20.59,37.3,32.2,494.9,1,OIL_STAIN,False
27.84,16.84,8.37,409.8,2222.3,607.9,22.24,44.3,31.3,573.0,1,OIL_STAIN,False
14.06,9.89,4.91,443.7,2229.6,611.7,34.89,47.6,26.0,544.4,0,YARN_BREAKAGE,False
16.63,10.95,4.3,447.3,2211.0,652.0,39.15,63.7,22.3,522.3,0,YARN_BREAKAGE,False
18.28,14.23,4.15,321.8,1989.5,631.3,17.12,66.8,20.2,493.3,3,BORDER_SEWING_DEFECT,False
11.55,9.21,4.25,462.6,2246.6,589.8,51.78,57.8,25.6,522.1,0,YARN_BREAKAGE,False
25.92,15.28,9.01,426.3,2300.3,657.0,22.59,42.5,34.0,475.9,1,OIL_STAIN,False
16.48,9.84,3.87,409.4,2250.7,639.2,40.66,48.8,23.4,486.6,0,YARN_BREAKAGE,False
25.75,11.29,3.24,344.8,1957.1,625.2,21.16,63.0,24.4,500.4,3,BORDER_SEWING_DEFECT,False
24.47,10.68,6.29,310.1,1923.2,640.8,19.36,64.3,21.6,546.9,3,BORDER_SEWING_DEFECT,False
26.84,17.54,3.89,476.8,2518.6,712.1,21.8,62.8,25.5,625.6,2,JACQUARD_PATTERN_SHIFT,False
26.37,18.01,4.52,465.2,2528.5,754.0,23.21,62.2,24.1,635.0,2,JACQUARD_PATTERN_SHIFT,False
27.6,18.45,3.31,358.3,1941.9,664.4,16.08,61.3,23.6,550.9,3,BORDER_SEWING_DEFECT,False
28.48,18.2,4.21,470.0,2470.8,734.4,24.57,58.5,28.3,614.9,2,JACQUARD_PATTERN_SHIFT,False
25.46,19.28,4.45,456.3,2538.1,741.1,17.38,60.1,22.8,601.7,2,JACQUARD_PATTERN_SHIFT,False
25.58,18.08,4.82,464.6,2401.4,723.7,23.4,62.2,28.0,611.7,2,JACQUARD_PATTERN_SHIFT,False
27.31,16.68,4.57,431.0,2536.9,653.8,28.29,56.2,32.4,631.9,2,JACQUARD_PATTERN_SHIFT,False
20.65,15.17,4.7,335.5,1956.1,547.2,24.3,56.7,21.2,476.3,3,BORDER_SEWING_DEFECT,False
25.33,21.32,5.26,472.3,2421.8,663.0,28.56,67.1,26.2,649.4,2,JACQUARD_PATTERN_SHIFT,False
38.5,19.56,1.62,490.9,1989.3,460.2,76.07,35.9,28.6,573.1,-1,ANOMALOUS_NOISE,True
23.44,14.05,2.75,337.1,1899.4,592.5,22.11,64.1,22.9,517.3,3,BORDER_SEWING_DEFECT,False
29.66,18.68,5.02,294.5,1954.1,591.8,20.0,58.2,23.3,481.7,3,BORDER_SEWING_DEFECT,False
29.82,18.93,4.14,484.7,2465.3,704.1,25.88,59.1,27.0,636.8,2,JACQUARD_PATTERN_SHIFT,False
27.14,16.2,4.07,440.0,2492.4,734.2,25.86,64.9,29.9,619.4,2,JACQUARD_PATTERN_SHIFT,False
17.45,22.73,7.57,454.5,2142.1,598.8,21.59,45.6,33.0,548.6,1,OIL_STAIN,False
14.4,9.78,5.19,417.3,2212.9,660.5,35.99,58.1,24.3,522.0,0,YARN_BREAKAGE,False
22.49,16.01,4.15,447.7,2503.8,654.5,24.25,64.0,25.2,646.7,2,JACQUARD_PATTERN_SHIFT,False
25.79,17.26,7.85,451.5,2195.9,587.5,24.05,36.4,32.5,564.0,1,OIL_STAIN,False
22.59,11.33,4.36,315.0,2082.8,571.3,18.55,62.2,24.6,487.9,3,BORDER_SEWING_DEFECT,False
27.98,19.12,4.34,468.2,2513.0,733.1,25.66,62.8,24.9,602.3,2,JACQUARD_PATTERN_SHIFT,False
27.18,14.4,7.54,417.5,2179.5,609.1,18.66,42.2,28.6,553.4,1,OIL_STAIN,False
16.22,9.85,5.33,426.0,2260.3,618.9,37.57,63.3,25.9,568.3,0,YARN_BREAKAGE,False
14.72,8.87,4.95,416.0,2172.0,676.8,38.31,63.2,22.5,513.2,0,YARN_BREAKAGE,False
11.47,9.95,4.82,424.7,2135.3,588.9,44.78,51.0,22.4,532.3,0,YARN_BREAKAGE,False
14.56,10.44,4.59,409.0,2209.8,621.8,44.89,58.9,28.6,548.6,0,YARN_BREAKAGE,False
28.03,21.29,4.53,522.2,2573.8,689.4,23.45,64.7,20.9,648.8,2,JACQUARD_PATTERN_SHIFT,False
16.65,8.12,6.22,454.4,2340.2,587.2,37.95,63.1,23.4,538.2,0,YARN_BREAKAGE,False
27.24,20.28,3.45,482.3,2393.4,716.4,21.15,57.2,25.9,603.6,2,JACQUARD_PATTERN_SHIFT,False
16.94,10.78,4.11,442.3,2338.4,593.3,46.64,59.0,24.5,463.7,0,YARN_BREAKAGE,False
23.38,15.33,4.75,350.9,1977.6,584.4,21.6,55.9,22.4,486.8,3,BORDER_SEWING_DEFECT,False
13.65,8.48,6.2,451.4,2141.1,650.9,40.92,53.1,22.2,487.5,0,YARN_BREAKAGE,False
17.85,17.18,4.62,347.6,1891.5,601.0,16.1,61.2,24.7,537.4,3,BORDER_SEWING_DEFECT,False
28.16,21.16,4.68,447.4,2540.8,687.6,25.39,61.1,25.3,660.6,2,JACQUARD_PATTERN_SHIFT,False
26.48,18.1,4.61,468.4,2576.7,678.5,23.35,62.1,21.5,618.3,2,JACQUARD_PATTERN_SHIFT,False
11.17,13.19,5.02,450.3,2322.2,578.2,37.5,60.0,23.9,572.3,0,YARN_BREAKAGE,False
27.12,16.63,5.43,323.3,1951.2,606.6,22.57,61.3,19.4,507.2,3,BORDER_SEWING_DEFECT,False
13.94,8.23,4.72,453.8,2355.0,639.1,44.84,57.6,24.7,518.4,0,YARN_BREAKAGE,False
27.99,18.3,4.22,470.0,2383.3,708.7,22.38,53.0,23.3,679.7,2,JACQUARD_PATTERN_SHIFT,False
22.12,20.46,7.4,439.3,2373.6,627.3,18.5,50.6,33.4,534.1,1,OIL_STAIN,False
22.47,16.18,4.62,293.2,1986.7,525.9,14.6,56.6,25.4,474.6,3,BORDER_SEWING_DEFECT,False
25.2,6.09,7.71,639.9,2977.0,823.6,69.43,28.7,31.2,555.0,-1,ANOMALOUS_NOISE,True
24.55,16.39,6.78,443.7,2226.6,608.7,20.83,45.8,30.4,619.3,1,OIL_STAIN,False
25.46,12.77,3.38,325.6,2000.9,601.3,17.27,59.6,23.1,549.8,3,BORDER_SEWING_DEFECT,False
25.72,15.7,7.94,388.5,1951.4,767.5,79.95,64.5,12.2,542.2,-1,ANOMALOUS_NOISE,True
25.66,20.14,4.58,361.4,1928.1,512.4,23.13,61.5,20.6,508.2,3,BORDER_SEWING_DEFECT,False
27.88,18.49,3.11,449.5,2528.3,702.3,22.04,62.5,22.2,625.2,2,JACQUARD_PATTERN_SHIFT,False
17.06,9.94,3.28,429.5,2177.6,621.8,52.29,53.3,26.3,522.5,0,YARN_BREAKAGE,False
22.41,14.26,4.94,287.9,2021.4,631.8,21.09,65.7,22.6,533.1,3,BORDER_SEWING_DEFECT,False
15.65,9.88,3.49,437.8,2215.0,613.0,49.4,53.4,22.3,517.8,0,YARN_BREAKAGE,False
28.99,15.12,8.59,476.8,2177.2,641.3,27.65,40.4,33.9,539.4,1,OIL_STAIN,False
25.41,14.58,5.56,421.2,2341.0,628.0,21.09,47.7,31.5,553.0,1,OIL_STAIN,False
9.77,31.02,10.37,265.6,2653.6,524.0,64.52,63.9,27.7,472.0,-1,ANOMALOUS_NOISE,True
26.72,16.44,7.96,479.0,2099.1,612.2,22.7,40.4,32.3,555.5,1,OIL_STAIN,False
27.04,19.13,8.61,417.9,2275.6,606.5,23.91,44.9,30.8,574.0,1,OIL_STAIN,False
15.66,7.71,4.86,438.1,2175.7,623.8,42.79,53.7,22.4,542.1,0,YARN_BREAKAGE,False
15.69,10.28,5.91,412.0,2178.9,623.0,41.08,54.9,22.2,523.6,0,YARN_BREAKAGE,False
26.14,17.08,3.86,295.7,2001.7,638.2,17.16,57.5,26.2,497.6,3,BORDER_SEWING_DEFECT,False
34.4,16.85,4.71,471.5,2454.1,702.6,27.21,57.6,23.9,666.8,2,JACQUARD_PATTERN_SHIFT,False
25.85,18.04,3.18,473.7,2475.3,756.8,25.53,57.9,22.3,641.7,2,JACQUARD_PATTERN_SHIFT,False
14.55,8.14,3.01,444.9,2360.4,629.0,43.89,49.4,26.3,494.2,0,YARN_BREAKAGE,False
19.81,12.98,5.22,294.7,1910.1,528.8,21.39,52.4,23.2,484.7,3,BORDER_SEWING_DEFECT,False
28.32,10.75,8.0,439.6,2228.9,624.3,26.61,48.7,31.3,538.4,1,OIL_STAIN,False
29.04,14.78,4.68,452.8,2463.8,746.6,25.05,58.8,22.6,661.6,2,JACQUARD_PATTERN_SHIFT,False
25.89,13.66,9.74,423.1,2444.7,522.8,20.34,43.4,31.5,562.6,1,OIL_STAIN,False
24.93,19.33,5.2,303.7,1929.1,544.7,17.02,59.5,24.1,447.5,3,BORDER_SEWING_DEFECT,False
24.65,15.27,3.63,447.0,2581.1,711.5,23.6,55.8,24.9,624.7,2,JACQUARD_PATTERN_SHIFT,False
24.67,14.49,4.85,339.6,2055.3,552.3,19.88,62.8,20.3,438.3,3,BORDER_SEWING_DEFECT,False
29.69,17.36,3.91,462.9,2496.8,710.1,26.67,56.6,24.0,624.1,2,JACQUARD_PATTERN_SHIFT,False
27.25,17.13,4.72,350.2,1946.7,607.5,15.28,63.9,24.3,527.6,3,BORDER_SEWING_DEFECT,False
30.14,14.88,6.1,434.4,2241.7,667.9,31.06,46.5,32.3,538.5,1,OIL_STAIN,False
25.23,17.8,7.0,478.3,2264.6,629.9,23.7,42.2,32.8,503.1,1,OIL_STAIN,False
27.19,11.62,8.25,395.0,2376.2,617.9,23.14,45.4,34.7,577.9,1,OIL_STAIN,False
22.81,16.78,5.15,295.4,1889.7,544.5,27.74,61.9,22.6,515.6,3,BORDER_SEWING_DEFECT,False
14.53,7.79,5.0,460.9,2109.4,623.2,41.26,58.1,21.9,542.2,0,YARN_BREAKAGE,False
24.61,12.71,4.71,344.0,1963.1,601.2,16.0,58.5,20.8,520.4,3,BORDER_SEWING_DEFECT,False
15.66,9.39,4.97,476.9,2133.5,580.3,40.5,60.3,22.8,551.3,0,YARN_BREAKAGE,False
16.54,15.78,3.67,333.3,1988.0,642.4,22.09,65.9,22.6,530.1,3,BORDER_SEWING_DEFECT,False
29.57,19.48,3.87,473.3,2551.2,706.9,25.8,61.7,28.2,647.1,2,JACQUARD_PATTERN_SHIFT,False
24.28,19.97,7.78,453.2,2325.8,645.4,16.97,42.1,31.6,562.4,1,OIL_STAIN,False
7.11,28.09,6.66,300.9,2348.1,715.4,65.47,52.3,43.9,401.6,-1,ANOMALOUS_NOISE,True
17.93,10.69,6.35,432.4,2384.9,551.6,38.84,59.5,22.5,557.2,0,YARN_BREAKAGE,False
25.22,18.38,6.51,440.8,2117.9,596.0,22.99,44.1,30.6,520.8,1,OIL_STAIN,False
18.08,8.28,3.35,442.4,2035.8,668.7,33.71,55.2,21.9,504.6,0,YARN_BREAKAGE,False
28.69,18.53,6.87,440.7,2126.3,649.4,22.43,45.4,32.0,492.9,1,OIL_STAIN,False
29.91,19.97,4.44,456.9,2555.1,711.0,21.91,59.1,23.2,582.2,2,JACQUARD_PATTERN_SHIFT,False
25.28,15.72,4.18,328.6,1936.7,551.1,22.74,68.4,22.7,501.6,3,BORDER_SEWING_DEFECT,False
26.18,22.22,7.61,435.6,2334.9,596.4,19.74,45.2,30.2,575.2,1,OIL_STAIN,False
